"Table 1a. Coefficient of Variation of the Average Annual Family Income, by  Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
Batangas,4.2,4.2,3.6,3.6,3.6,4.5,4.0,4.1,4.7,5.6,6.9,5.0,16.0,10.7,10.9,10.6,10.9,10.4,9.4,10.6,11.0,11.9,3.2,3.6,3.4,4.1,3.9,4.1,4.1,3.9,4.3,4.6,7.5
Cavite,3.4,3.5,3.6,4.0,4.4,4.0,4.1,4.2,4.7,5.3,6.4,6.4,14.2,13.8,11.4,13.5,10.6,12.2,13.6,11.6,12.7,13.4,4.3,2.3,3.4,3.6,2.8,4.0,3.9,4.7,5.9,6.2,5.8
Laguna,4.8,3.6,3.4,3.3,4.9,5.0,4.2,4.2,4.7,4.6,8.6,5.2,14.3,11.5,11.0,8.7,10.2,10.2,10.4,10.8,12.3,14.1,4.2,3.8,3.9,3.2,3.6,3.6,3.5,4.0,4.8,5.2,8.2
Quezon (Excluding City of Lucena),4.9,4.4,3.1,3.5,3.5,3.9,4.0,4.7,4.4,4.9,6.3,6.3,14.0,12.2,10.5,9.2,9.2,9.7,11.0,11.6,11.8,16.8,3.6,4.0,2.7,3.1,3.3,3.0,4.3,4.7,3.5,4.6,6.5
City of Lucena,4.8,3.8,5.2,5.4,5.5,4.8,5.0,5.7,5.6,6.5,10.0,7.1,15.3,12.3,12.6,12.6,10.7,12.6,13.6,12.8,12.0,21.8,3.4,4.1,3.9,3.9,4.4,4.5,4.5,4.5,5.9,5.5,6.1
Rizal,6.4,4.2,3.5,3.0,5.1,3.4,3.0,3.8,3.6,4.6,12.9,8.3,14.6,11.2,11.1,10.6,10.3,12.8,10.2,11.1,12.3,25.2,5.9,4.1,3.8,3.9,3.2,3.0,3.9,4.3,4.3,4.6,10.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,2.7,1.9,1.5,1.6,1.6,1.9,1.6,2.0,2.0,2.2,5.8,3.2,6.1,4.3,4.4,4.6,4.4,4.7,4.6,5.6,5.2,8.0,3.4,3.1,1.6,3.0,6.4,1.5,1.9,1.6,2.2,2.8,4.8
Marinduque,5.0,3.6,2.7,2.9,4.5,3.4,4.1,4.4,4.3,4.7,8.5,5.7,10.6,10.7,9.7,10.5,9.6,10.8,10.2,10.7,11.9,13.1,4.0,3.4,2.7,3.2,3.5,3.6,3.1,3.9,5.7,5.7,6.5
Occidental Mindoro,5.2,5.3,2.7,3.1,2.4,3.6,3.8,3.4,4.1,5.0,8.2,5.1,14.8,9.9,10.1,11.0,9.5,11.0,11.1,10.4,9.5,12.5,6.0,4.5,3.7,3.1,3.3,3.2,4.0,3.3,3.6,4.1,8.6
Oriental Mindoro,6.6,4.8,3.4,3.6,3.2,3.4,4.7,3.4,4.3,4.8,13.1,6.8,14.6,10.4,10.0,9.3,8.9,9.5,10.1,11.6,11.6,16.7,4.6,5.8,2.7,2.5,3.4,2.8,3.9,3.9,4.7,4.6,5.7
Palawan (Excluding City of Puerto Princesa),3.8,3.5,3.3,3.6,4.0,3.5,4.8,3.8,3.9,5.0,6.9,7.2,12.2,8.2,8.6,9.2,10.0,10.9,10.8,9.2,12.2,19.3,9.5,6.1,4.2,3.2,12.5,12.8,3.3,4.4,3.9,6.4,19.4
City of Puerto Princesa,4.0,3.8,3.3,3.1,4.8,4.9,4.0,4.6,4.5,6.0,6.0,6.5,15.8,10.2,9.1,10.3,12.2,10.6,11.1,11.3,14.8,14.3,4.0,3.1,3.2,3.6,3.1,3.3,3.9,4.6,5.8,3.9,6.0
Romblon,11.8,4.1,3.2,3.7,3.6,4.0,3.6,3.9,4.5,5.9,25.0,6.3,12.2,9.4,9.3,10.0,10.7,9.7,8.8,10.0,10.1,16.9,4.4,2.7,3.2,3.1,3.2,3.9,5.1,3.5,5.0,4.6,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V - BICOL REGION,2.6,1.6,1.7,1.6,1.6,1.6,1.9,2.1,2.1,2.5,5.1,3.6,5.6,5.2,4.7,4.1,4.5,4.5,4.5,5.7,5.6,9.1,3.4,1.6,1.3,1.6,1.6,1.7,1.8,2.0,2.5,2.3,7.3
Albay,5.0,3.6,3.2,3.8,3.6,3.6,4.6,4.9,4.1,4.8,6.8,7.4,13.2,10.7,9.8,8.4,9.9,10.6,10.6,9.9,12.8,20.8,4.0,3.1,2.6,3.0,3.4,3.7,3.7,4.0,4.7,5.2,5.2
Camarines Norte,4.1,3.5,3.5,3.1,3.2,4.2,3.9,4.1,4.8,4.3,7.3,8.3,11.4,9.2,8.4,10.3,10.2,9.7,11.5,11.4,11.4,23.0,8.2,3.7,3.0,2.8,3.1,3.1,4.3,4.3,4.9,5.1,27.4
